baseline,split,filename,question_id,label,y,score
scalar:think_logprob,train,bb_sports_understanding_127_rollout_008_prefix_2.json,bb_sports_understanding_127,no,0,-25.902442932128906
scalar:think_logprob,train,bb_sports_understanding_056_rollout_026_prefix_1.json,bb_sports_understanding_056,no,0,-32.27540588378906
scalar:think_logprob,train,bb_sports_understanding_221_rollout_006_prefix_0.json,bb_sports_understanding_221,no,0,-28.940717697143555
scalar:think_logprob,train,bb_snarks_172_rollout_014_prefix_2.json,bb_snarks_172,no,0,-33.656253814697266
scalar:think_logprob,train,bb_navigate_070_rollout_002_prefix_0.json,bb_navigate_070,no,0,-29.643587112426758
scalar:think_logprob,train,bb_sports_understanding_204_rollout_012_prefix_2.json,bb_sports_understanding_204,no,0,-28.713340759277344
scalar:think_logprob,train,bb_web_of_lies_192_rollout_002_prefix_1.json,bb_web_of_lies_192,no,0,-38.77546310424805
scalar:think_logprob,train,bb_navigate_046_rollout_027_prefix_0.json,bb_navigate_046,no,0,-36.8437614440918
scalar:think_logprob,train,bb_snarks_158_rollout_025_prefix_2.json,bb_snarks_158,no,0,-27.13980484008789
scalar:think_logprob,train,bb_navigate_080_rollout_004_prefix_2.json,bb_navigate_080,no,0,-27.90523910522461
scalar:think_logprob,train,bb_sports_understanding_093_rollout_014_prefix_2.json,bb_sports_understanding_093,no,0,-30.64624786376953
scalar:think_logprob,train,dd_0048_rollout_023_prefix_3.json,dd_0048,no,0,-29.091293334960938
scalar:think_logprob,train,bb_web_of_lies_090_rollout_006_prefix_1.json,bb_web_of_lies_090,no,0,-29.518226623535156
scalar:think_logprob,train,bb_sports_understanding_168_rollout_012_prefix_1.json,bb_sports_understanding_168,no,0,-29.267436981201172
scalar:think_logprob,train,bb_snarks_124_rollout_012_prefix_2.json,bb_snarks_124,no,0,-36.89098358154297
scalar:think_logprob,train,bb_navigate_058_rollout_002_prefix_1.json,bb_navigate_058,no,0,-27.857681274414062
scalar:think_logprob,train,bb_snarks_096_rollout_011_prefix_2.json,bb_snarks_096,no,0,-33.000396728515625
scalar:think_logprob,train,bb_web_of_lies_229_rollout_028_prefix_2.json,bb_web_of_lies_229,no,0,-27.506807327270508
scalar:think_logprob,train,dd_0100_rollout_002_prefix_2.json,dd_0100,no,0,-32.89615249633789
